date_mutation,Unnamed: 0.1,id_mutation,valeur_fonciere,code_commune,code_departement,surface_reelle_bati,nombre_pieces_principales,surface_terrain,Appartement,Dependance,Local,Maison
2016-08-25,1311,2016-1049042,175000.0,84007.0,84.0,100.0,3.0,257.0,0,0,0,1
2016-08-29,1410,2016-1053324,100000.0,84118.0,84.0,40.0,1.0,358.0,0,0,0,1
2016-08-30,1475,2016-1056183,134000.0,84064.0,84.0,70.0,3.0,306.0,0,0,0,1
2016-08-30,456,2016-132484,180000.0,13040.0,13.0,45.0,3.0,66.0,1,0,0,0
2016-09-01,802,2016-1023344,895000.0,83118.0,83.0,150.0,5.0,757.0,0,0,0,1
2016-09-01,1197,2016-1043331,235990.0,83049.0,83.0,75.0,4.0,222.0,0,0,0,1
2016-09-01,807,2016-1023607,446700.0,83118.0,83.0,91.0,3.0,911.0,0,0,0,1
2016-09-02,1409,2016-1053303,365000.0,84035.0,84.0,72.0,3.0,2030.0,1,0,0,0
2016-09-05,937,2016-1029577,89950.0,83148.0,83.0,86.0,4.0,780.0,0,0,0,1
2016-09-05,330,2016-125899,317000.0,13211.0,13.0,92.0,3.0,548.0,0,0,0,1
2016-09-07,946,2016-1029980,745000.0,83072.0,83.0,178.0,4.0,496.0,0,0,0,1
2016-09-08,1316,2016-1049302,435000.0,84122.0,84.0,160.0,4.0,1191.0,0,0,0,1
2016-09-09,1075,2016-1036963,405000.0,83137.0,83.0,100.0,4.0,383.0,0,0,0,1
2016-09-12,809,2016-1023688,538500.0,83048.0,83.0,115.0,5.0,700.0,0,0,0,1
2016-09-12,236,2016-121069,245000.0,13070.0,13.0,43.0,3.0,377.0,0,0,0,1
2016-09-13,471,2016-133257,411000.0,13106.0,13.0,102.0,4.0,1034.0,0,0,0,1
2016-09-14,944,2016-1029912,264870.0,83029.0,83.0,69.0,3.0,1797.0,0,0,0,1
2016-09-15,1078,2016-1037150,440000.0,83126.0,83.0,47.0,2.0,770.0,1,0,0,0
2016-09-15,1201,2016-1043532,387000.0,83100.0,83.0,140.0,7.0,1200.0,0,0,0,1
2016-09-16,948,2016-1030072,209000.0,83012.0,83.0,128.0,6.0,500.0,0,0,0,1
2016-09-19,1480,2016-1056377,254038.0,84106.0,84.0,132.0,4.0,1191.0,0,0,0,1
2016-09-20,951,2016-1030207,476000.0,83148.0,83.0,115.0,4.0,2100.0,0,0,0,1
2016-09-20,232,2016-120896,1305000.0,13208.0,13.0,25.0,2.0,457.0,1,0,0,0
2016-09-21,55,2016-110333,65000.0,13215.0,13.0,100.0,4.0,120.0,1,0,0,0
2016-09-22,813,2016-1023888,748200.0,83118.0,83.0,170.0,5.0,873.0,0,0,0,1
2016-09-22,604,2016-139260,280000.0,13039.0,13.0,101.0,4.0,428.0,0,0,0,1
2016-09-23,816,2016-1024051,1000000.0,83119.0,83.0,88.0,5.0,243.0,0,0,0,1
2016-09-23,239,2016-121235,549470.0,13023.0,13.0,134.0,6.0,199.0,0,0,0,1
2016-09-26,810,2016-1023740,670000.0,83094.0,83.0,142.0,4.0,500.0,0,0,0,1
2016-09-27,1208,2016-1043925,210000.0,83090.0,83.0,100.0,5.0,130.0,0,0,0,1
2016-09-29,952,2016-1030256,221540.0,83117.0,83.0,68.0,3.0,445.0,0,0,0,1
2016-09-29,601,2016-139087,290000.0,13118.0,13.0,117.0,5.0,741.0,0,0,0,1
2016-09-29,605,2016-139314,465000.0,13098.0,13.0,124.0,4.0,5016.0,0,0,0,1
2016-09-30,814,2016-1023942,501800.0,83107.0,83.0,180.0,6.0,1190.0,0,0,0,1
2016-09-30,812,2016-1023830,480000.0,83115.0,83.0,137.0,5.0,764.0,0,0,0,1
2016-10-01,477,2016-133564,160000.0,13032.0,13.0,101.0,4.0,450.0,0,0,0,1
2016-10-04,336,2016-126233,198000.0,13213.0,13.0,79.0,3.0,464.0,0,0,0,1
2016-10-05,246,2016-121544,330000.0,13005.0,13.0,125.0,4.0,386.0,0,0,0,1
2016-10-05,476,2016-133504,410000.0,13091.0,13.0,110.0,3.0,250.0,0,0,0,1
2016-10-07,857,2016-1026052,605500.0,83107.0,83.0,28.0,0.0,2726.0,0,0,1,0
2016-10-10,59,2016-110608,378000.0,13204.0,13.0,40.0,2.0,399.0,1,0,0,0
2016-10-11,247,2016-121607,325000.0,13005.0,13.0,109.0,5.0,355.0,0,0,0,1
2016-10-12,1326,2016-1049649,3600000.0,84007.0,84.0,19.0,1.0,1000.0,1,0,0,0
2016-10-12,1328,2016-1049649,3600000.0,84007.0,84.0,20.0,1.0,1000.0,1,0,0,0
2016-10-12,1213,2016-1044176,415000.0,83070.0,83.0,88.0,4.0,500.0,0,0,0,1
2016-10-12,1331,2016-1049774,219000.0,84081.0,84.0,112.0,4.0,431.0,0,0,0,1
2016-10-13,955,2016-1030361,300000.0,83138.0,83.0,200.0,0.0,500.0,0,0,1,0
2016-10-17,957,2016-1030453,245000.0,83067.0,83.0,96.0,3.0,342.0,0,0,0,1
2016-10-17,1089,2016-1037872,387250.0,83098.0,83.0,90.0,4.0,363.0,0,0,0,1
2016-10-18,1217,2016-1044406,200000.0,83069.0,83.0,27.0,2.0,335.0,1,0,0,0
2016-10-18,958,2016-1030496,395000.0,83081.0,83.0,150.0,4.0,1144.0,0,0,0,1
2016-10-18,825,2016-1024520,72000.0,83107.0,83.0,44.0,1.0,44.0,0,0,0,1
2016-10-19,483,2016-133853,1425000.0,13001.0,13.0,70.0,2.0,165.0,1,0,0,0
2016-10-20,485,2016-133918,1510000.0,13001.0,13.0,211.0,8.0,2866.0,0,0,0,1
2016-10-21,63,2016-110849,555000.0,13204.0,13.0,50.0,2.0,212.0,1,0,0,0
